age,num_of_accident,deathtoll,num_of_sinj,num_of_minj,num_of_reported_inj,year
under20,8020,162,3455,6710,1373,2013
21~30,29221,696,13235,30914,2636,2013
31~40,38718,877,17261,39418,2947,2013
41~50,52141,1147,23207,53836,3694,2013
51~60,51415,1169,22915,52658,3699,2013
61~64,11588,287,5292,11344,821,2013
over65,17590,737,8373,15980,1381,2013
unknown,6661,17,1623,4927,1012,2013
under20,9646,154,3542,7826,2072,2015
21~30,30986,592,12311,32941,3633,2015
31~40,38681,674,15250,40393,3928,2015
41~50,52033,967,20997,53623,4653,2015
51~60,57762,1090,23472,59499,4987,2015
61~64,13887,325,5762,13779,1265,2015
over65,23063,815,10050,21366,2371,2015
unknown,5977,4,1138,4219,1323,2015
under20,9079,170,3425,7203,1833,2014
21~30,29530,582,12041,31194,3015,2014
31~40,38435,757,16066,39533,3321,2014
41~50,52274,1027,22136,53380,4270,2014
51~60,54719,1163,23344,56221,4428,2014
61~64,12627,291,5548,12599,1073,2014
over65,20275,763,9028,18485,1907,2014
unknown,6613,9,1459,4760,1228,2014
under20,6960,85,1903,6848,1075,2021
21~30,29076,360,7747,32460,2682,2021
31~40,30304,350,8139,33624,2513,2021
41~50,36480,494,10104,39777,2711,2021
51~60,46938,639,13141,50867,3260,2021
61~64,18578,278,5251,20344,1181,2021
65-70,17594,328,5017,18801,1196,2021
over71,14247,381,4237,14383,1079,2021
unknown,2953,1,366,2179,723,2021
under20,8175,124,2743,7114,1561,2017
21~30,29254,504,10195,32137,3086,2017
31~40,34179,586,11906,36793,3396,2017
41~50,43668,739,16310,45579,3901,2017
51~60,53412,1066,19783,55702,4587,2017
61~64,16375,317,6080,16913,1366,2017
over65,26713,848,10472,25735,2420,2017
unknown,4559,1,723,3227,1100,2017
under20,7231,95,2227,6804,1457,2019
21~30,30631,376,9586,34519,3513,2019
31~40,34978,429,10884,38435,3528,2019
41~50,43769,584,13881,47344,4196,2019
51~60,55814,790,17546,60335,5195,2019
61~64,19847,305,6453,21365,1695,2019
over65,33239,769,11164,33811,3248,2019
unknown,4091,1,565,2911,1050,2019
under20,7099,103,2174,6925,1247,2020
21~30,29775,385,8370,33492,3273,2020
31~40,31606,383,8887,34949,3086,2020
41~50,38036,494,10991,41479,3267,2020
51~60,50421,715,14760,55052,3891,2020
61~64,18175,281,5279,19584,1374,2020
65-70,17087,307,5249,18159,1322,2020
over71,13985,413,4405,13930,1204,2020
unknown,3470,0,449,2466,930,2020
under20,8530,175,3880,7222,1080,2012
21~30,32300,759,15334,34449,2209,2012
31~40,41555,957,19122,43233,2682,2012
41~50,56115,1280,25494,58805,3454,2012
51~60,51505,1178,23634,53322,3084,2012
61~64,10785,306,5079,10794,744,2012
over65,15190,718,7061,13893,1089,2012
unknown,7676,19,2099,5872,930,2012
under20,6654,97,2074,6054,1292,2018
21~30,28727,420,9587,31478,3139,2018
31~40,33618,511,11405,36228,3163,2018
41~50,42204,636,14389,44858,3890,2018
51~60,53631,940,18822,56770,4524,2018
61~64,18095,330,6257,19309,1576,2018
over65,30012,843,11073,29713,2683,2018
unknown,4207,4,651,3101,1001,2018
under20,9006,146,3139,7677,1779,2016
21~30,29797,522,10808,32356,3241,2016
31~40,35900,583,13235,37908,3634,2016
41~50,47219,898,17936,49084,4472,2016
51~60,54299,1045,20703,56656,4913,2016
61~64,15305,338,5972,15607,1410,2016
over65,24429,759,9816,23507,2364,2016
unknown,4962,1,854,3488,1161,2016
